Gender,Year,Shelter,Canteen_Usage,Weekly_Income,Foodspend%,Nutritional_consciousness, Usually_prefer_for_breakfast, Usually_prefer_for_Lunch, Usually_prefer_for_Dinner,DigitPayUsageCanteens,Convenience,Enhancements,Canteen_cleanliness_importance,University_canteen_sanitation,Cleanliness_rate_in_Base canteen,Cleanliness_rate_in_Gym_canteen,Cleanliness_rate_in_Staff_canteen,Cleanliness_rate_in_hilton_canteen,Cleanliness_rate_in_Din&sons_canteen,Cleanliness_rate_in_Helabojunhala_canteen,Cleanliness_rate_in_kirihala_canteen,Cleanliness_rate_in_staffJuicebar,Cleanliness_rate_in_GymJuicebar,Canteen_sanitation_issues ,Canteen_portion_sizes,Canteen_food_waste,Main_reason,Agree_on_portion_customization,Waste_management_rate_in_Basecanteen,Waste_management_rate_in_Gymcanteen,Waste_management_rate_in_Staffcanteen,Waste_management_rate_in_hiltoncanteen,Waste_management_rate_in_Don&sonscanteen,Waste_management_rate_in_Hela_bojun_hala_canteen,Waste_management_rate_in_kirihalacanteen,Waste_management_rate_in_staffJuicebar,Waste_management_rate_in_GymJuicebar,Most_visited_canteen,Base_Canteen_visits,Gym_Canteen_visits,Staff_Canteen_visits,Hilton_Canteen_visits,Don&Son's_shop_visits,Hela_Bojun_Hala_visits,Kiri Hala_Canteen_visits,JuiceBarI(in Gym)_visits,JuicebarII(in Staff)_visits,Factor_Food_Quality,Factor_Price,Factor_Service_Speed,Factor_Cleanliness,Factor_Beverage_Options,Factor_Seating_Availability,BaseCanteen_OverallSatisfaction,GymCanteen_OverallSatisfaction,StaffCanteen_OverallSatisfaction,HiltonCanteen_OverallSatisfaction,Don&Son'sshop_OverallSatisfaction,HelaBojunHala_OverallSatisfaction,KiriHalaCanteen_OverallSatisfaction,JuiceBarI(in Gym)_OverallSatisfaction,JuicebarII(in Staff)_OverallSatisfaction
Female,First Year,Campus Hostels,Never,Less than Rs.2000,0 - 20,2 - Slightly important,1,1,1,Occasionally,1 - Not Convenient,Meal subscription plans;Discounts or rewards for digital payments,4 - Convenient,Very Dissatisfied,1,2,2,1,2,2,1,2,2,Poor food handling practices;Lack of waste disposal bins,Just right,Never,The portion size is too large,Strongly Disagree,1,2,2,1,2,2,1,1,3,Base canteen󠇯,Never,Rarely,Rarely,Occasionally,Occasionally,Rarely,Rarely,Occasionally,Occasionally,Staff Canteen,Gym Canteen,Gym Canteen,Gym Canteen,Staff Canteen,Staff Canteen,1,2,2,3,4,3,3,4,4
Male,Third Year,Bording/Apartment,Daily,Less than Rs.2000,40 - 60,1 - Not important,5,2,2,Never,1 - Not Convenient,Discounts or rewards for digital payments,5 - Very important,Dissatisfied,3,3,4,2,5,2,3,3,3,Unclean seating areas,Just right,Sometimes,I didn't like the taste,Agree,1,1,1,1,1,1,1,1,1,Base canteen󠇯,Daily,Occasionally,Rarely,Rarely,Never,Never,Never,Occasionally,Frequently,Staff Canteen,Base Canteen,Base Canteen,Staff Canteen,Juice bar II (in Staff),Base Canteen,4,3,3,2,3,2,3,4,4
Female,Third Year,Bording/Apartment,Daily,Rs.3000 - Rs.4000,60 - 80,1 - Not important,5,2,3,Never,5 - Very Convenient,Discounts or rewards for digital payments,4 - Convenient,Dissatisfied,3,2,2,2,2,3,3,3,3,Unclean seating areas,Slightly too small,Sometimes,I didn't like the taste,Strongly Agree,3,2,2,2,2,3,3,3,3,Base canteen󠇯,Daily,Occasionally,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Base Canteen,Base Canteen,Base Canteen,Juice Bar I (in Gym),Juice Bar I (in Gym),Base Canteen,3,2,2,2,2,3,3,3,3
Female,Third Year,Bording/Apartment,Frequently,Rs.3000 - Rs.4000,80 - 100,4 - Important,1,2,2,Never,3 - Moderately Convenient,Meal subscription plans,5 - Very important,Very Dissatisfied,1,1,1,1,2,2,3,3,2,Unclean equipment,Just right,Sometimes,I didn't like the taste,Agree,2,2,2,2,3,3,3,3,2,Base canteen󠇯,Daily,Occasionally,Never,Rarely,Never,Never,Never,Frequently,Never,Juice Bar I (in Gym),Juice Bar I (in Gym),Juice Bar I (in Gym),Juice Bar I (in Gym),Juice Bar I (in Gym),Gym Canteen,2,2,1,1,3,3,3,4,1
Female,Third Year,Campus Hostels,Daily,Rs.4000 - Rs.5000,40 - 60,3 - Moderately important,1,5,2,Occasionally,4 - Convenient,Discounts or rewards for digital payments,5 - Very important,Neutral,3,2,3,3,4,4,3,3,3,Unclean seating areas,Just right,Sometimes,I didn't like the taste,Neutral,3,3,3,3,3,3,3,3,3,Base canteen󠇯,Daily,Occasionally,Occasionally,Rarely,Rarely,Rarely,Never,Occasionally,Occasionally,Hela Bojun Hala,Gym Canteen,Base Canteen,Don & Son's shop,Base Canteen,Base Canteen,4,2,3,3,3,3,3,4,4
Female,Third Year,Bording/Apartment,Frequently,Rs.2000 - Rs.3000,60 - 80,4 - Important,2,3,4,Never,3 - Moderately Convenient,None,5 - Very important,Neutral,3,3,3,3,4,4,4,4,4,Lack of waste disposal bins,Just right,Sometimes,I didn't like the taste,Neutral,3,3,3,3,3,3,3,3,3,Hela Bojun Hala󠇯,Rarely,Rarely,Rarely,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Rarely,Hela Bojun Hala,Hela Bojun Hala,Kiri Hala,Kiri Hala,Juice Bar I (in Gym),Staff Canteen,3,3,3,3,4,4,4,4,4
Female,Third Year,Bording/Apartment,Frequently,Less than Rs.2000,60 - 80,3 - Moderately important,2,2,3,Never,2 - Slightly Convenient,None,5 - Very important,Neutral,3,3,3,3,3,3,3,3,3,Unclean seating areas,Just right,Never,I didn't like the taste,Neutral,3,3,3,3,3,3,3,3,3,Base canteen󠇯,Daily,Frequently,Frequently,Rarely,Never,Never,Never,Frequently,Occasionally,Base Canteen,Base Canteen,Base Canteen,Base Canteen,Base Canteen,Base Canteen,5,4,4,4,2,2,2,2,2
Female,Third Year,At Home,Rarely,Less than Rs.2000,0 - 20,3 - Moderately important,2,2,5,Never,3 - Moderately Convenient,Discounts or rewards for digital payments,3 - Moderately important,Neutral,3,3,3,3,3,3,3,3,3,Unclean seating areas,Much too small,Sometimes,I didn't like the taste,Neutral,3,3,3,3,3,3,3,3,3,Base canteen󠇯,Frequently,Occasionally,Rarely,Rarely,Never,Never,Never,Rarely,Never,Base Canteen,Base Canteen,Base Canteen,Base Canteen,Base Canteen,Base Canteen,4,3,3,3,3,3,3,4,3
Male,Third Year,Campus Hostels,Frequently,Above Rs.5000,40 - 60,4 - Important,2,3,2,Never,4 - Convenient,Discounts or rewards for digital payments,5 - Very important,Satisfied,4,4,5,4,4,4,4,4,5,Unclean seating areas,Just right,Rarely,I didn't like the taste,Agree,3,3,3,3,3,3,3,3,3,Base canteen󠇯,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Staff Canteen,Base Canteen,Staff Canteen,Staff Canteen,Staff Canteen,Staff Canteen,4,4,5,4,4,4,4,4,4
Male,Third Year,Bording/Apartment,Frequently,Above Rs.5000,80 - 100,3 - Moderately important,1,2,1,Never,3 - Moderately Convenient,Discounts or rewards for digital payments,3 - Moderately important,Satisfied,4,3,3,3,3,4,4,3,4,Unclean equipment,Slightly too small,Sometimes,I didn't like the taste,Disagree,3,3,3,3,3,3,3,3,3,Base canteen󠇯,Frequently,Occasionally,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Frequently,Staff Canteen,Base Canteen,Staff Canteen,Base Canteen,Base Canteen,Base Canteen,4,3,4,3,3,3,3,3,4
